candidate_id,event_group_id,event_name,event_date,event_year,event_latitude_deg,event_longitude_deg,grid_latitude_deg,grid_longitude_deg_east,latitude_index,longitude_index,land_fraction,model_surface_height_m,distance_km,dependence_component,component_representative,cluster_ids,cell_rank,primary_cell
baige-2018-nov,baige-2018,Baige November repeat landslide,2018-11-03,2018,31.0823,98.710999999999999,31,98.5,236,394,1,4168.521484375,22.087297691704418,baige-2018-nov,False,cascade-baige-2018,3,False
baige-2018-nov,baige-2018,Baige November repeat landslide,2018-11-03,2018,31.0823,98.710999999999999,31.25,98.5,235,394,1,4079.079833984375,27.400071420367315,baige-2018-nov,False,cascade-baige-2018,4,False
seti-2012,seti-2012,Seti Annapurna IV rock-ice avalanche,2012-05-05,2012,28.5304,84.051000000000002,28.5,84.25,246,337,1,3952.525146484375,19.735130596267538,seti-2012,True,,1,True
seti-2012,seti-2012,Seti Annapurna IV rock-ice avalanche,2012-05-05,2012,28.5304,84.051000000000002,28.75,84.25,245,337,0.99999940395355225,5177.58154296875,31.199503211927812,seti-2012,True,,2,False
seti-2012,seti-2012,Seti Annapurna IV rock-ice avalanche,2012-05-05,2012,28.5304,84.051000000000002,28.5,84,246,336,0.99989116191864014,3964.663330078125,6.0213712437935598,seti-2012,True,,3,False
seti-2012,seti-2012,Seti Annapurna IV rock-ice avalanche,2012-05-05,2012,28.5304,84.051000000000002,28.75,84,245,336,0.99984562397003174,4892.728515625,24.920470574316205,seti-2012,True,,4,False
yulong-2004,yulong,Yulong Ganheba rock-ice avalanche,2004-03-12,2004,27.090638999999999,100.18447,27.25,100.25,251,401,0.99806582927703857,3001.6064453125,18.868666249741398,yulong-2004,True,site-yulong,1,True
yulong-2004,yulong,Yulong Ganheba rock-ice avalanche,2004-03-12,2004,27.090638999999999,100.18447,27.25,100,251,400,0.9972003698348999,3177.860595703125,25.436527820686898,yulong-2004,True,site-yulong,2,False
yulong-2004,yulong,Yulong Ganheba rock-ice avalanche,2004-03-12,2004,27.090638999999999,100.18447,27,100,252,400,0.99384224414825439,2881.00390625,20.864726104234087,yulong-2004,True,site-yulong,3,False
yulong-2004,yulong,Yulong Ganheba rock-ice avalanche,2004-03-12,2004,27.090638999999999,100.18447,27,100.25,252,401,0.99234306812286377,2845.901123046875,11.987306164173907,yulong-2004,True,site-yulong,4,False
aru-1-2016,aru,Aru-1 glacier detachment,2016-07-17,2016,34.018816000000001,82.243666000000005,34,82,224,328,0.95740175247192383,5193.44775390625,22.557042051944361,aru-1-2016,True,site-aru,1,True
aru-1-2016,aru,Aru-1 glacier detachment,2016-07-17,2016,34.018816000000001,82.243666000000005,34.25,82,223,328,0.93551599979400635,5252.79296875,34.114192295232442,aru-1-2016,True,site-aru,2,False
aru-1-2016,aru,Aru-1 glacier detachment,2016-07-17,2016,34.018816000000001,82.243666000000005,34,82.25,224,329,0.92455828189849854,5236.49462890625,2.1721753179930925,aru-1-2016,True,site-aru,3,False
aru-1-2016,aru,Aru-1 glacier detachment,2016-07-17,2016,34.018816000000001,82.243666000000005,34.25,82.25,223,329,0.89114201068878174,5242.40771484375,25.713097391858735,aru-1-2016,True,site-aru,4,False
aru-2-2016,aru,Aru-2 glacier detachment,2016-09-21,2016,34.005935999999998,82.254925999999998,34.25,82.5,223,330,0.96875643730163574,5180.6376953125,35.289788236751782,aru-1-2016,False,site-aru,1,True
aru-2-2016,aru,Aru-2 glacier detachment,2016-09-21,2016,34.005935999999998,82.254925999999998,34,82.5,224,330,0.94120371341705322,5181.44189453125,22.600936385970634,aru-1-2016,False,site-aru,2,False
aru-2-2016,aru,Aru-2 glacier detachment,2016-09-21,2016,34.005935999999998,82.254925999999998,34,82.25,224,329,0.92455828189849854,5236.49462890625,0.80116444005990994,aru-1-2016,False,site-aru,3,False
aru-2-2016,aru,Aru-2 glacier detachment,2016-09-21,2016,34.005935999999998,82.254925999999998,34.25,82.25,223,329,0.89114201068878174,5242.40771484375,27.142466009528675,aru-1-2016,False,site-aru,4,False
naltar-2021,naltar-2021,Upper Naltar rock-ice avalanche,2021-07-05,2021,36.220481999999997,74.085185999999993,36.25,74.25,215,297,0.99996578693389893,3749.946533203125,15.14209600136617,naltar-2021,True,,1,True
naltar-2021,naltar-2021,Upper Naltar rock-ice avalanche,2021-07-05,2021,36.220481999999997,74.085185999999993,36,74.25,216,297,0.99996566772460938,3321.5556640625,28.6402725083456,naltar-2021,True,,2,False
naltar-2021,naltar-2021,Upper Naltar rock-ice avalanche,2021-07-05,2021,36.220481999999997,74.085185999999993,36,74,216,296,0.99991786479949951,3643.4990234375,25.683031811025845,naltar-2021,True,,3,False
naltar-2021,naltar-2021,Upper Naltar rock-ice avalanche,2021-07-05,2021,36.220481999999997,74.085185999999993,36.25,74,215,296,0.99989235401153564,3749.156005859375,8.3154780228841503,naltar-2021,True,,4,False
sedongpu-2017-oct,sedongpu,Sedongpu October 2017 avalanche,2017-10-22,2017,29.818611000000001,94.951749000000007,29.75,94.75,241,379,0.99839675426483154,4129.89990234375,20.91140508531446,sedongpu-2017-oct,True,site-sedongpu,1,True
sedongpu-2017-oct,sedongpu,Sedongpu October 2017 avalanche,2017-10-22,2017,29.818611000000001,94.951749000000007,29.75,95,241,380,0.99773681163787842,3888.558349609375,8.9379986261568103,sedongpu-2017-oct,True,site-sedongpu,2,False
sedongpu-2017-oct,sedongpu,Sedongpu October 2017 avalanche,2017-10-22,2017,29.818611000000001,94.951749000000007,30,94.75,240,379,0.9968184232711792,3890.7294921875,28.016852284225664,sedongpu-2017-oct,True,site-sedongpu,3,False
sedongpu-2017-oct,sedongpu,Sedongpu October 2017 avalanche,2017-10-22,2017,29.818611000000001,94.951749000000007,30,95,240,380,0.99443638324737549,3632.88623046875,20.6987718518848,sedongpu-2017-oct,True,site-sedongpu,4,False
sedongpu-2021-mar,sedongpu,Sedongpu March 2021 rock-ice avalanche,2021-03-22,2021,29.819987000000001,94.947811999999999,29.75,94.75,241,379,0.99839675426483154,4129.89990234375,20.615264614815388,sedongpu-2017-oct,False,site-sedongpu,1,True
sedongpu-2021-mar,sedongpu,Sedongpu March 2021 rock-ice avalanche,2021-03-22,2021,29.819987000000001,94.947811999999999,29.75,95,241,380,0.99773681163787842,3888.558349609375,9.2697509384910326,sedongpu-2017-oct,False,site-sedongpu,2,False
sedongpu-2021-mar,sedongpu,Sedongpu March 2021 rock-ice avalanche,2021-03-22,2021,29.819987000000001,94.947811999999999,30,94.75,240,379,0.9968184232711792,3890.7294921875,27.643738765079114,sedongpu-2017-oct,False,site-sedongpu,3,False
sedongpu-2021-mar,sedongpu,Sedongpu March 2021 rock-ice avalanche,2021-03-22,2021,29.819987000000001,94.947811999999999,30,95,240,380,0.99443638324737549,3632.88623046875,20.638889471522056,sedongpu-2017-oct,False,site-sedongpu,4,False
