candidate_id,window,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
baige-2018-oct,7d,6.5,1,18
baige-2018-oct,7d,6.5,2,0
baige-2018-oct,7d,9,-1,163
baige-2018-oct,7d,9,0,113
baige-2018-oct,7d,9,1,3
baige-2018-oct,7d,9,2,0
baige-2018-oct,7d_buffered,4,-1,168
baige-2018-oct,7d_buffered,4,0,127
baige-2018-oct,7d_buffered,4,1,56
baige-2018-oct,7d_buffered,4,2,9
baige-2018-oct,7d_buffered,6.5,-1,168
baige-2018-oct,7d_buffered,6.5,0,127
baige-2018-oct,7d_buffered,6.5,1,21
baige-2018-oct,7d_buffered,6.5,2,0
baige-2018-oct,7d_buffered,9,-1,168
baige-2018-oct,7d_buffered,9,0,127
baige-2018-oct,7d_buffered,9,1,3
baige-2018-oct,7d_buffered,9,2,0
baige-2018-nov,7d,4,-1,82
baige-2018-nov,7d,4,0,39
baige-2018-nov,7d,4,1,6
baige-2018-nov,7d,4,2,0
baige-2018-nov,7d,6.5,-1,110
baige-2018-nov,7d,6.5,0,39
baige-2018-nov,7d,6.5,1,1
baige-2018-nov,7d,6.5,2,0
baige-2018-nov,7d,9,-1,139
baige-2018-nov,7d,9,0,39
baige-2018-nov,7d,9,1,0
baige-2018-nov,7d,9,2,0
baige-2018-nov,7d_buffered,4,-1,82
baige-2018-nov,7d_buffered,4,0,36
baige-2018-nov,7d_buffered,4,1,1
baige-2018-nov,7d_buffered,4,2,0
baige-2018-nov,7d_buffered,6.5,-1,107
baige-2018-nov,7d_buffered,6.5,0,36
baige-2018-nov,7d_buffered,6.5,1,0
baige-2018-nov,7d_buffered,6.5,2,0
baige-2018-nov,7d_buffered,9,-1,139
baige-2018-nov,7d_buffered,9,0,36
baige-2018-nov,7d_buffered,9,1,0
baige-2018-nov,7d_buffered,9,2,0
seti-2012,7d,4,-1,113
seti-2012,7d,4,0,63
seti-2012,7d,4,1,1
seti-2012,7d,4,2,0
seti-2012,7d,6.5,-1,161
seti-2012,7d,6.5,0,63
seti-2012,7d,6.5,1,0
seti-2012,7d,6.5,2,0
seti-2012,7d,9,-1,168
seti-2012,7d,9,0,63
seti-2012,7d,9,1,0
seti-2012,7d,9,2,0
seti-2012,7d_buffered,4,-1,120
seti-2012,7d_buffered,4,0,69
seti-2012,7d_buffered,4,1,1
seti-2012,7d_buffered,4,2,0
seti-2012,7d_buffered,6.5,-1,161
seti-2012,7d_buffered,6.5,0,69
seti-2012,7d_buffered,6.5,1,0
seti-2012,7d_buffered,6.5,2,0
seti-2012,7d_buffered,9,-1,168
seti-2012,7d_buffered,9,0,69
seti-2012,7d_buffered,9,1,0
seti-2012,7d_buffered,9,2,0
yigong-2000,7d,4,-1,151
yigong-2000,7d,4,0,74
yigong-2000,7d,4,1,5
yigong-2000,7d,4,2,0
yigong-2000,7d,6.5,-1,161
yigong-2000,7d,6.5,0,74
yigong-2000,7d,6.5,1,0
yigong-2000,7d,6.5,2,0
yigong-2000,7d,9,-1,166
yigong-2000,7d,9,0,74
yigong-2000,7d,9,1,0
yigong-2000,7d,9,2,0
yigong-2000,7d_buffered,4,-1,146
yigong-2000,7d_buffered,4,0,74
yigong-2000,7d_buffered,4,1,5
yigong-2000,7d_buffered,4,2,0
yigong-2000,7d_buffered,6.5,-1,160
yigong-2000,7d_buffered,6.5,0,74
yigong-2000,7d_buffered,6.5,1,0
yigong-2000,7d_buffered,6.5,2,0
yigong-2000,7d_buffered,9,-1,166
yigong-2000,7d_buffered,9,0,74
yigong-2000,7d_buffered,9,1,0
yigong-2000,7d_buffered,9,2,0
sedongpu-2018,7d,4,-1,158
sedongpu-2018,7d,4,0,118
sedongpu-2018,7d,4,1,28
sedongpu-2018,7d,4,2,0
sedongpu-2018,7d,6.5,-1,163
sedongpu-2018,7d,6.5,0,118
sedongpu-2018,7d,6.5,1,0
sedongpu-2018,7d,6.5,2,0
sedongpu-2018,7d,9,-1,166
sedongpu-2018,7d,9,0,118
sedongpu-2018,7d,9,1,0
sedongpu-2018,7d,9,2,0
sedongpu-2018,7d_buffered,4,-1,158
sedongpu-2018,7d_buffered,4,0,121
