candidate_id,window,onset_role,coordinate_uncertainty_class,quantization_gap_seconds,dependence_component,component_representative,old_pilot_overlap,onset_event_mean_t2m_k,onset_warm_state_anomaly_k,onset_warm_state_rank,onset_theil_sen_k_per_decade,onset_fitted_change_1991_to_event_k,onset_linear_trend_residual_rank,calendar_event_mean_t2m_k,calendar_warm_state_anomaly_k,calendar_warm_state_rank,calendar_theil_sen_k_per_decade,calendar_fitted_change_1991_to_event_k,calendar_linear_trend_residual_rank,delta_time_warm_state_rank,delta_time_linear_trend_residual_rank,onset_four_cell_warm_rank_min,onset_four_cell_warm_rank_max,onset_four_cell_warm_rank_range,onset_four_cell_residual_rank_min,onset_four_cell_residual_rank_max,onset_four_cell_residual_rank_range
denali-mcginnis-s-2002,7d,trigger_proxy,le_1_km,761.51800000000003,denali-black-rapids-e-2002,False,False,268.684326171875,10.216796875,1,0.078848379629629636,0.086733217592592601,1,268.58071899414062,10.220550537109375,1,0.07361019358915441,0.080971212948069859,1,0,0,1,1,0,1,1,0
dickson-2023,2d,source_failure,le_1_km,2103,dickson-2023,True,True,257.33544921875,-1.91461181640625,0.33333333333333331,0.708160400390625,2.26611328125,0.26666666666666666,257.66177368164062,-1.764312744140625,0.33333333333333331,0.72562240972751524,2.3219917111280486,0.23333333333333334,0,0.033333333333333326,0.33333333333333331,0.40000000000000002,0.066666666666666707,0.23333333333333334,0.26666666666666666,0.033333333333333326
dickson-2023,30d,source_failure,le_1_km,2103,dickson-2023,True,True,265.88079833984375,2.667816162109375,0.93333333333333335,0.73811170789930558,2.3619574652777779,0.83333333333333337,266.0430908203125,2.690155029296875,0.93333333333333335,0.7296316964285714,2.3348214285714284,0.83333333333333337,0,0,0.90000000000000002,0.96666666666666667,0.066666666666666652,0.83333333333333337,0.84999999999999998,0.016666666666666607
dickson-2023,7d,source_failure,le_1_km,2103,dickson-2023,True,True,259.56475830078125,-0.686553955078125,0.40000000000000002,0.92493230646306823,2.9597833806818183,0.23333333333333334,260.098876953125,-0.29742431640625,0.43333333333333335,0.8782087053571429,2.8102678571428572,0.26666666666666666,-0.033333333333333326,-0.033333333333333326,0.40000000000000002,0.5,0.099999999999999978,0.23333333333333334,0.23333333333333334,0
hillary-2014,2d,source_failure,le_1_km,1920,hillary-2014,True,True,273.00253295898438,2.53717041015625,0.82758620689655171,0.44894131747159088,1.0325650301846589,0.82758620689655171,273.80203247070312,3.40618896484375,0.86206896551724133,0.44867515563964844,1.0319528579711914,0.82758620689655171,-0.034482758620689613,0,0.82758620689655171,0.86206896551724133,0.034482758620689613,0.7931034482758621,0.82758620689655171,0.034482758620689613
hillary-2014,30d,source_failure,le_1_km,1920,hillary-2014,True,True,271.78060913085938,1.525787353515625,0.82758620689655171,0.32850999098557698,0.75557297926682698,0.86206896551724133,271.82769775390625,1.473846435546875,0.82758620689655171,0.3286922679227941,0.75599221622242641,0.86206896551724133,0,0,0.7931034482758621,0.89655172413793105,0.10344827586206895,0.82758620689655171,0.89655172413793105,0.068965517241379337
hillary-2014,7d,source_failure,le_1_km,1920,hillary-2014,True,True,273.020263671875,3.030120849609375,0.89655172413793105,0.31315394810267855,0.7202540806361607,0.86206896551724133,272.88470458984375,2.78515625,0.89655172413793105,0.30553817749023438,0.70273780822753906,0.86206896551724133,0,0,0.89655172413793105,0.96551724137931039,0.068965517241379337,0.86206896551724133,0.94827586206896552,0.086206896551724199
karrat-2017,2d,source_failure,le_1_km,2340,karrat-2017,True,True,272.03970336914062,-1.90972900390625,0.2413793103448276,0.304840087890625,0.79258422851562493,0.20689655172413793,272.76290893554688,-0.6878662109375,0.34482758620689657,0.17251150948660715,0.4485299246651786,0.31034482758620691,-0.10344827586206898,-0.10344827586206898,0.20689655172413793,0.31034482758620691,0.10344827586206898,0.20689655172413793,0.27586206896551724,0.068965517241379309
karrat-2017,30d,source_failure,le_1_km,2340,karrat-2017,True,True,270.78631591796875,-0.47747802734375,0.41379310344827586,-0.063916015625000003,-0.16618164062499999,0.44827586206896552,270.76486206054688,-0.1728515625,0.48275862068965519,-0.058962065598060345,-0.15330137055495688,0.48275862068965519,-0.068965517241379337,-0.034482758620689669,0.41379310344827586,0.48275862068965519,0.068965517241379337,0.44827586206896552,0.48275862068965519,0.034482758620689669
karrat-2017,7d,source_failure,le_1_km,2340,karrat-2017,True,True,273.51596069335938,-0.733978271484375,0.37931034482758619,0.20041006582754628,0.52106617115162035,0.37931034482758619,273.34890747070312,-0.727325439453125,0.37931034482758619,0.19137295809659091,0.49756969105113641,0.37931034482758619,0,0,0.34482758620689657,0.41379310344827586,0.068965517241379282,0.31034482758620691,0.41379310344827586,0.10344827586206895
