candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,anchor,window,event_year,event_mean_t2m_k,reference_median_t2m_k,warm_state_anomaly_k,warm_state_rank,theil_sen_k_per_decade,fitted_change_1991_to_event_k,linear_trend_residual_rank,dependence_component,component_representative
steller-2005,60.5,216.75,False,onset,7d,2005,275.452392578125,274.93801879882812,0.514373779296875,0.68965517241379315,0.5005241842830882,0.70073385799632348,0.75862068965517238,steller-2005,True
steller-2005,60.5,217,True,onset,2d,2005,275.1241455078125,275.1644287109375,-0.040283203125,0.48275862068965519,0.4407610212053571,0.6170654296875,0.44827586206896552,steller-2005,True
steller-2005,60.5,217,True,onset,30d,2005,277.15023803710938,276.56643676757812,0.58380126953125,0.75862068965517238,0.39468270760995372,0.55255579065393523,0.75862068965517238,steller-2005,True
steller-2005,60.5,217,True,onset,7d,2005,276.37905883789062,275.66204833984375,0.717010498046875,0.75862068965517238,0.52679653825431039,0.73751515355603448,0.75862068965517238,steller-2005,True
steller-2005,60.75,216.75,False,onset,2d,2005,274.71774291992188,273.65292358398438,1.0648193359375,0.62068965517241381,0.4301234654017857,0.6021728515625,0.65517241379310343,steller-2005,True
steller-2005,60.75,216.75,False,onset,30d,2005,276.43768310546875,275.83221435546875,0.60546875,0.62068965517241381,0.43176695357921513,0.60447373501090118,0.62068965517241381,steller-2005,True
steller-2005,60.75,216.75,False,onset,7d,2005,275.34710693359375,274.19424438476562,1.152862548828125,0.7931034482758621,0.56311214671415444,0.78835700539981624,0.75862068965517238,steller-2005,True
steller-2005,60.75,217,False,onset,2d,2005,275.42813110351562,274.45242309570312,0.9757080078125,0.58620689655172409,0.42403564453124998,0.59364990234375004,0.62068965517241381,steller-2005,True
steller-2005,60.75,217,False,onset,30d,2005,277.5089111328125,276.72262573242188,0.786285400390625,0.65517241379310343,0.42928842397836536,0.60100379356971145,0.68965517241379315,steller-2005,True
steller-2005,60.75,217,False,onset,7d,2005,276.458251953125,275.232177734375,1.22607421875,0.7931034482758621,0.58509063720703125,0.81912689208984368,0.75862068965517238,steller-2005,True
taan-2015,60,218.75,False,onset,2d,2015,283.25924682617188,276.25534057617188,7.00390625,1,0.40006103515625002,0.96014648437500005,1,taan-2015,True
taan-2015,60,218.75,False,onset,30d,2015,279.68399047851562,279.41949462890625,0.264495849609375,0.55172413793103448,0.22490365164620535,0.53976876395089279,0.44827586206896552,taan-2015,True
taan-2015,60,218.75,False,onset,7d,2015,280.37149047851562,276.83126831054688,3.54022216796875,0.96551724137931039,0.47976325539981612,1.1514318129595589,0.89655172413793105,taan-2015,True
taan-2015,60,219,False,onset,2d,2015,281.8692626953125,274.95059204101562,6.918670654296875,1,0.2027130126953125,0.48651123046875,1,taan-2015,True
taan-2015,60,219,False,onset,30d,2015,278.06472778320312,278.15432739257812,-0.089599609375,0.48275862068965519,0.17106876816860464,0.41056504360465118,0.44827586206896552,taan-2015,True
taan-2015,60,219,False,onset,7d,2015,278.96234130859375,275.97357177734375,2.98876953125,0.96551724137931039,0.385406494140625,0.92497558593750007,0.89655172413793105,taan-2015,True
taan-2015,60.25,218.75,False,onset,2d,2015,275.90200805664062,267.77407836914062,8.1279296875,1,0.31888326009114587,0.76531982421875,1,taan-2015,True
taan-2015,60.25,218.75,False,onset,30d,2015,271.7608642578125,271.67022705078125,0.09063720703125,0.51724137931034486,0.14994654162176724,0.35987169989224138,0.44827586206896552,taan-2015,True
taan-2015,60.25,218.75,False,onset,7d,2015,272.82659912109375,269.0836181640625,3.74298095703125,0.86206896551724133,0.49522986778846151,1.1885516826923077,0.82758620689655171,taan-2015,True
taan-2015,60.25,219,True,onset,2d,2015,274.84475708007812,266.62570190429688,8.21905517578125,1,0.28533935546875,0.684814453125,1,taan-2015,True
taan-2015,60.25,219,True,onset,30d,2015,270.4307861328125,270.345703125,0.0850830078125,0.58620689655172409,0.18980712890625001,0.45553710937500003,0.44827586206896552,taan-2015,True
taan-2015,60.25,219,True,onset,7d,2015,271.46041870117188,267.7760009765625,3.684417724609375,0.86206896551724133,0.44040527343749997,1.0569726562499999,0.82758620689655171,taan-2015,True
thurwieser-2004,46.25,10.5,False,onset,2d,2004,278.84616088867188,280.75732421875,-1.911163330078125,0.31034482758620691,0.28438568115234375,0.36970138549804688,0.31034482758620691,thurwieser-2004,True
thurwieser-2004,46.25,10.5,False,onset,30d,2004,282.26287841796875,282.15451049804688,0.108367919921875,0.51724137931034486,0.4516527129382622,0.58714852681974083,0.48275862068965519,thurwieser-2004,True
thurwieser-2004,46.25,10.5,False,onset,7d,2004,279.93923950195312,281.08493041992188,-1.14569091796875,0.41379310344827586,0.3347457082648026,0.43516942074424342,0.44827586206896552,thurwieser-2004,True
thurwieser-2004,46.25,10.75,False,onset,2d,2004,280.99533081054688,282.8331298828125,-1.837799072265625,0.31034482758620691,0.3272221006196121,0.42538873080549572,0.2413793103448276,thurwieser-2004,True
thurwieser-2004,46.25,10.75,False,onset,30d,2004,284.33917236328125,284.32699584960938,0.012176513671875,0.51724137931034486,0.46527862548828125,0.60486221313476562,0.48275862068965519,thurwieser-2004,True
thurwieser-2004,46.25,10.75,False,onset,7d,2004,281.97732543945312,283.24008178710938,-1.26275634765625,0.37931034482758619,0.35852220323350698,0.46607886420355904,0.37931034482758619,thurwieser-2004,True
thurwieser-2004,46.5,10.5,True,onset,2d,2004,277.39279174804688,279.59902954101562,-2.20623779296875,0.27586206896551724,0.2141910129123264,0.27844831678602427,0.27586206896551724,thurwieser-2004,True
thurwieser-2004,46.5,10.5,True,onset,30d,2004,280.99661254882812,280.5186767578125,0.477935791015625,0.65517241379310343,0.49267108623798078,0.640472412109375,0.65517241379310343,thurwieser-2004,True
thurwieser-2004,46.5,10.5,True,onset,7d,2004,278.47610473632812,279.60366821289062,-1.1275634765625,0.44827586206896552,0.35403547615840519,0.46024611900592671,0.44827586206896552,thurwieser-2004,True
thurwieser-2004,46.5,10.75,False,onset,2d,2004,278.95916748046875,281.32391357421875,-2.36474609375,0.31034482758620691,0.28350830078125,0.368560791015625,0.27586206896551724,thurwieser-2004,True
thurwieser-2004,46.5,10.75,False,onset,30d,2004,282.42999267578125,282.1329345703125,0.29705810546875,0.58620689655172409,0.48868815104166663,0.63529459635416663,0.58620689655172409,thurwieser-2004,True
thurwieser-2004,46.5,10.75,False,onset,7d,2004,280.095458984375,281.34133911132812,-1.245880126953125,0.41379310344827586,0.40302276611328125,0.52392959594726562,0.44827586206896552,thurwieser-2004,True
tracy-arm-2025,57.75,226.75,False,onset,2d,2025,283.98876953125,282.91748046875,1.0712890625,0.8666666666666667,0.30487787155877977,1.0365847632998513,0.6333333333333333,tracy-arm-2025,True
tracy-arm-2025,57.75,226.75,False,onset,30d,2025,283.45156860351562,282.62098693847656,0.8305816650390625,0.83333333333333337,0.24309794108072919,0.82653299967447924,0.73333333333333328,tracy-arm-2025,True
tracy-arm-2025,57.75,226.75,False,onset,7d,2025,283.22335815429688,282.72917175292969,0.4941864013671875,0.59999999999999998,0.41893853081597221,1.4243910047743056,0.26666666666666666,tracy-arm-2025,True
tracy-arm-2025,57.75,227,True,onset,2d,2025,281.24624633789062,279.20854187011719,2.0377044677734375,1,0.36792755126953125,1.2509536743164062,0.90000000000000002,tracy-arm-2025,True
tracy-arm-2025,57.75,227,True,onset,30d,2025,279.77774047851562,279.1683349609375,0.609405517578125,0.80000000000000004,0.20525480571546051,0.69786633943256582,0.66666666666666663,tracy-arm-2025,True
tracy-arm-2025,57.75,227,True,onset,7d,2025,279.73236083984375,279.33544921875,0.39691162109375,0.6333333333333333,0.2993600027901786,1.0178240094866071,0.40000000000000002,tracy-arm-2025,True
tracy-arm-2025,58,226.75,False,onset,2d,2025,283.61575317382812,283.11004638671875,0.505706787109375,0.56666666666666665,0.21453857421875,0.72943115234375,0.56666666666666665,tracy-arm-2025,True
tracy-arm-2025,58,226.75,False,onset,30d,2025,284.47866821289062,283.10678100585938,1.37188720703125,0.83333333333333337,0.29348036822150736,0.997833251953125,0.69999999999999996,tracy-arm-2025,True
tracy-arm-2025,58,226.75,False,onset,7d,2025,283.69967651367188,283.88197326660156,-0.1822967529296875,0.46666666666666667,0.4797702365451389,1.6312188042534721,0.25,tracy-arm-2025,True
tracy-arm-2025,58,227,False,onset,2d,2025,281.20333862304688,280.78829956054688,0.4150390625,0.6333333333333333,0.2408260769314236,0.81880866156684029,0.53333333333333333,tracy-arm-2025,True
tracy-arm-2025,58,227,False,onset,30d,2025,281.69046020507812,280.50886535644531,1.1815948486328125,0.80000000000000004,0.28981526692708331,0.98537190755208326,0.73333333333333328,tracy-arm-2025,True
tracy-arm-2025,58,227,False,onset,7d,2025,280.921875,281.08148193359375,-0.15960693359375,0.46666666666666667,0.47927053351151316,1.6295198139391447,0.23333333333333334,tracy-arm-2025,True
aysen-2007-punta-cola,-45.5,287,False,calendar,2d,2007,279.0645751953125,280.14779663085938,-1.083221435546875,0.20689655172413793,0.3232998318142361,0.51727973090277779,0.20689655172413793,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287,False,calendar,30d,2007,280.96804809570312,281.4315185546875,-0.463470458984375,0.37931034482758619,0.23484173943014705,0.37574678308823528,0.27586206896551724,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287,False,calendar,7d,2007,279.41061401367188,280.38128662109375,-0.970672607421875,0.31034482758620691,0.40936279296875,0.65498046875000004,0.20689655172413793,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287.25,True,calendar,2d,2007,278.01846313476562,279.24771118164062,-1.229248046875,0.20689655172413793,0.33203125,0.53125,0.20689655172413793,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287.25,True,calendar,30d,2007,280.06906127929688,280.72921752929688,-0.66015625,0.34482758620689657,0.25058144017269735,0.40093030427631576,0.2413793103448276,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.5,287.25,True,calendar,7d,2007,278.17926025390625,279.43624877929688,-1.256988525390625,0.13793103448275862,0.42730712890625,0.68369140625000002,0.17241379310344829,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287,False,calendar,2d,2007,279.29150390625,280.2789306640625,-0.9874267578125,0.37931034482758619,0.2735355922154018,0.43765694754464285,0.27586206896551724,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287,False,calendar,30d,2007,280.95669555664062,281.3270263671875,-0.370330810546875,0.41379310344827586,0.22735595703125,0.36376953125,0.27586206896551724,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287,False,calendar,7d,2007,279.89401245117188,280.35308837890625,-0.459075927734375,0.37931034482758619,0.42776602285879628,0.68442563657407407,0.37931034482758619,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287.25,False,calendar,2d,2007,277.58316040039062,279.14593505859375,-1.562774658203125,0.17241379310344829,0.2997165256076389,0.47954644097222221,0.13793103448275862,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287.25,False,calendar,30d,2007,279.85177612304688,280.47994995117188,-0.628173828125,0.31034482758620691,0.23811672044836957,0.3809867527173913,0.2413793103448276,aysen-2007-punta-cola,True
aysen-2007-punta-cola,-45.25,287.25,False,calendar,7d,2007,277.95199584960938,279.18865966796875,-1.236663818359375,0.13793103448275862,0.43321736653645831,0.6931477864583333,0.17241379310344829,aysen-2007-punta-cola,True
bukadaban-2022,35.75,90.75,False,calendar,2d,2022,259.4810791015625,258.29869079589844,1.1823883056640625,0.69999999999999996,0.44097900390625,1.367034912109375,0.59999999999999998,bukadaban-2022,True
bukadaban-2022,35.75,90.75,False,calendar,30d,2022,262.80224609375,262.49899291992188,0.303253173828125,0.56666666666666665,0.68619948167067302,2.1272183931790862,0.23333333333333334,bukadaban-2022,True
bukadaban-2022,35.75,90.75,False,calendar,7d,2022,259.2376708984375,258.89401245117188,0.343658447265625,0.56666666666666665,0.39520263671875,1.225128173828125,0.43333333333333335,bukadaban-2022,True
bukadaban-2022,35.75,91,False,calendar,2d,2022,259.12374877929688,257.98951721191406,1.1342315673828125,0.76666666666666672,0.55128230605014528,1.7089751487554505,0.56666666666666665,bukadaban-2022,True
bukadaban-2022,35.75,91,False,calendar,30d,2022,262.15289306640625,262.0269775390625,0.12591552734375,0.53333333333333333,0.76529667295258619,2.3724196861530173,0.23333333333333334,bukadaban-2022,True
bukadaban-2022,35.75,91,False,calendar,7d,2022,258.75885009765625,258.04598999023438,0.712860107421875,0.56666666666666665,0.4554966517857143,1.4120396205357144,0.46666666666666667,bukadaban-2022,True
bukadaban-2022,36,90.75,False,calendar,2d,2022,256.48397827148438,256.51632690429688,-0.0323486328125,0.5,0.50313313802083337,1.5597127278645835,0.40000000000000002,bukadaban-2022,True
bukadaban-2022,36,90.75,False,calendar,30d,2022,260.02032470703125,260.23860168457031,-0.2182769775390625,0.43333333333333335,0.7433646065848214,2.3044302804129462,0.066666666666666666,bukadaban-2022,True
bukadaban-2022,36,90.75,False,calendar,7d,2022,256.41802978515625,256.85920715332031,-0.4411773681640625,0.33333333333333331,0.40622166224888395,1.2592871529715401,0.29999999999999999,bukadaban-2022,True
bukadaban-2022,36,91,True,calendar,2d,2022,258.47683715820312,256.76210021972656,1.7147369384765625,0.66666666666666663,0.55995941162109375,1.7358741760253906,0.56666666666666665,bukadaban-2022,True
bukadaban-2022,36,91,True,calendar,30d,2022,260.2261962890625,260.37625122070312,-0.150054931640625,0.43333333333333335,0.73982932350852282,2.2934709028764209,0.066666666666666666,bukadaban-2022,True
bukadaban-2022,36,91,True,calendar,7d,2022,258.00912475585938,257.25900268554688,0.7501220703125,0.66666666666666663,0.43092398807920257,1.335864363045528,0.43333333333333335,bukadaban-2022,True
denali-black-rapids-e-2002,63.25,213.75,True,calendar,2d,2002,267.74356079101562,259.8900146484375,7.853546142578125,0.96551724137931039,0.41072172277113966,0.45179389504825362,0.96551724137931039,denali-black-rapids-e-2002,True
denali-black-rapids-e-2002,63.25,213.75,True,calendar,30d,2002,268.9581298828125,263.3033447265625,5.65478515625,1,0.509033203125,0.5599365234375,1,denali-black-rapids-e-2002,True
