candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,anchor,year,window,hours,mean_t2m_k
lamplugh-2016,58.5,223.25,False,calendar,2019,30d,720,280.57379150390625
lamplugh-2016,58.5,223.25,False,calendar,2020,2d,48,279.72219848632812
lamplugh-2016,58.5,223.25,False,calendar,2020,7d,168,279.564208984375
lamplugh-2016,58.5,223.25,False,calendar,2020,30d,720,279.60409545898438
lamplugh-2016,58.5,223.25,False,calendar,2021,2d,48,283.565673828125
lamplugh-2016,58.5,223.25,False,calendar,2021,7d,168,281.8251953125
lamplugh-2016,58.5,223.25,False,calendar,2021,30d,720,280.42095947265625
lamplugh-2016,58.5,223.25,False,calendar,2022,2d,48,284.99783325195312
lamplugh-2016,58.5,223.25,False,calendar,2022,7d,168,282.207763671875
lamplugh-2016,58.5,223.25,False,calendar,2022,30d,720,281.8553466796875
lamplugh-2016,58.5,223.25,False,calendar,2023,2d,48,281.05368041992188
lamplugh-2016,58.5,223.25,False,calendar,2023,7d,168,281.23919677734375
lamplugh-2016,58.5,223.25,False,calendar,2023,30d,720,279.85626220703125
lamplugh-2016,58.5,223.25,False,calendar,2024,2d,48,282.94900512695312
lamplugh-2016,58.5,223.25,False,calendar,2024,7d,168,281.8673095703125
lamplugh-2016,58.5,223.25,False,calendar,2024,30d,720,279.99380493164062
lamplugh-2016,58.5,223.25,False,calendar,2025,2d,48,280.53305053710938
lamplugh-2016,58.5,223.25,False,calendar,2025,7d,168,281.11532592773438
lamplugh-2016,58.5,223.25,False,calendar,2025,30d,720,279.18002319335938
lamplugh-2016,58.75,223.25,False,onset,1979,2d,48,278.76974487304688
lamplugh-2016,58.75,223.25,False,onset,1979,7d,168,279.57876586914062
lamplugh-2016,58.75,223.25,False,onset,1979,30d,720,277.42852783203125
lamplugh-2016,58.75,223.25,False,onset,1980,2d,48,280.51449584960938
lamplugh-2016,58.75,223.25,False,onset,1980,7d,168,280.76715087890625
lamplugh-2016,58.75,223.25,False,onset,1980,30d,720,281.56219482421875
lamplugh-2016,58.75,223.25,False,onset,1981,2d,48,280.62826538085938
lamplugh-2016,58.75,223.25,False,onset,1981,7d,168,280.47866821289062
lamplugh-2016,58.75,223.25,False,onset,1981,30d,720,280.22821044921875
lamplugh-2016,58.75,223.25,False,onset,1982,2d,48,286.71463012695312
lamplugh-2016,58.75,223.25,False,onset,1982,7d,168,285.19866943359375
lamplugh-2016,58.75,223.25,False,onset,1982,30d,720,280.52972412109375
lamplugh-2016,58.75,223.25,False,onset,1983,2d,48,281.10986328125
lamplugh-2016,58.75,223.25,False,onset,1983,7d,168,284.15277099609375
lamplugh-2016,58.75,223.25,False,onset,1983,30d,720,281.73233032226562
lamplugh-2016,58.75,223.25,False,onset,1984,2d,48,279.58663940429688
lamplugh-2016,58.75,223.25,False,onset,1984,7d,168,281.80496215820312
lamplugh-2016,58.75,223.25,False,onset,1984,30d,720,279.717529296875
lamplugh-2016,58.75,223.25,False,onset,1985,2d,48,278.68258666992188
lamplugh-2016,58.75,223.25,False,onset,1985,7d,168,278.29562377929688
lamplugh-2016,58.75,223.25,False,onset,1985,30d,720,277.60018920898438
lamplugh-2016,58.75,223.25,False,onset,1986,2d,48,286.1337890625
lamplugh-2016,58.75,223.25,False,onset,1986,7d,168,280.89791870117188
lamplugh-2016,58.75,223.25,False,onset,1986,30d,720,279.87234497070312
lamplugh-2016,58.75,223.25,False,onset,1987,2d,48,280.94931030273438
lamplugh-2016,58.75,223.25,False,onset,1987,7d,168,279.384521484375
lamplugh-2016,58.75,223.25,False,onset,1987,30d,720,278.01251220703125
lamplugh-2016,58.75,223.25,False,onset,1988,2d,48,280.3929443359375
lamplugh-2016,58.75,223.25,False,onset,1988,7d,168,279.99896240234375
lamplugh-2016,58.75,223.25,False,onset,1988,30d,720,280.18386840820312
lamplugh-2016,58.75,223.25,False,onset,1989,2d,48,284.79733276367188
lamplugh-2016,58.75,223.25,False,onset,1989,7d,168,282.17007446289062
lamplugh-2016,58.75,223.25,False,onset,1989,30d,720,280.6329345703125
lamplugh-2016,58.75,223.25,False,onset,1990,2d,48,281.62896728515625
lamplugh-2016,58.75,223.25,False,onset,1990,7d,168,280.30706787109375
lamplugh-2016,58.75,223.25,False,onset,1990,30d,720,280.6435546875
lamplugh-2016,58.75,223.25,False,onset,1991,2d,48,283.23526000976562
lamplugh-2016,58.75,223.25,False,onset,1991,7d,168,284.35263061523438
lamplugh-2016,58.75,223.25,False,onset,1991,30d,720,280.78375244140625
lamplugh-2016,58.75,223.25,False,onset,1992,2d,48,284.59671020507812
lamplugh-2016,58.75,223.25,False,onset,1992,7d,168,280.92288208007812
lamplugh-2016,58.75,223.25,False,onset,1992,30d,720,280.56402587890625
lamplugh-2016,58.75,223.25,False,onset,1993,2d,48,282.42111206054688
lamplugh-2016,58.75,223.25,False,onset,1993,7d,168,280.76373291015625
lamplugh-2016,58.75,223.25,False,onset,1993,30d,720,281.72085571289062
