rgi_id,polygon_area_m2,intersected_area_m2,planar_relative_closure_error,geodesic_representation_difference,weight_sum
RGI2000-v7.0-G-13-53221,5852729.269235474,5852729.269235474,1.332267629550188e-15,0,1
RGI2000-v7.0-G-13-53270,128754.3046406643,128754.3046406643,0,0,1
RGI2000-v7.0-G-13-53505,2638068.555804616,2638068.556147685,1.110223024625157e-15,1.300457519448628e-10,1
RGI2000-v7.0-G-13-53508,8156667.43617386,8156667.436172763,2.220446049250313e-16,1.344480082821065e-13,1
RGI2000-v7.0-G-13-53514,4156458.483138213,4156458.483138213,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-53544,1556844.991465081,1556844.991465081,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-53563,1212423.587307147,1212423.587307147,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-53613,1228553.903165227,1228553.902358283,3.33066907387547e-15,6.56824594713612e-10,1
RGI2000-v7.0-G-13-53615,19637096.03188003,19637096.03188003,1.110223024625157e-15,0,1
RGI2000-v7.0-G-13-53617,4511569.960948284,4511569.960948284,5.551115123125783e-16,0,1
RGI2000-v7.0-G-13-53645,3157174.868382191,3157174.868382191,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-53649,208578.6213909106,208578.6213909106,0,0,1
RGI2000-v7.0-G-13-53774,2862380.172699078,2862380.172699078,5.551115123125783e-16,0,1
RGI2000-v7.0-G-13-58443,1390195.637677286,1390195.637677286,7.771561172376096e-16,0,1
RGI2000-v7.0-G-13-58740,10150063.86818895,10150063.86818895,8.881784197001252e-16,0,1
RGI2000-v7.0-G-13-58772,2685446.934431612,2685446.934653393,7.771561172376096e-16,8.258638217739644e-11,1
RGI2000-v7.0-G-13-58791,3401522.292730902,3401522.292730902,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-58810,1953076.266045108,1953076.266045108,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-59135,9470545.449115565,9470545.449115565,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-59153,4927100.330171466,4927100.330171466,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-59658,4490235.889956793,4490235.889956793,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-59664,3431893.566941381,3431893.566941381,9.992007221626409e-16,0,1
RGI2000-v7.0-G-13-59888,15707566.27730596,15707566.31777297,2.220446049250313e-16,2.57627497113333e-09,1
RGI2000-v7.0-G-13-60117,3728165.496053639,3728165.497600454,5.88418203051333e-15,4.148996701758279e-10,1
RGI2000-v7.0-G-13-60124,4053736.88117142,4053736.88117142,9.992007221626409e-16,0,1
RGI2000-v7.0-G-13-60310,1340985.44601676,1340985.44601676,0,0,1
RGI2000-v7.0-G-13-62289,17394636.7363825,17394636.73647585,4.440892098500626e-16,5.366818101038007e-12,0.9999999999999999
RGI2000-v7.0-G-13-62307,1539901.436374543,1539901.436374543,0,0,1
