latitude,longitude,year,hour_count,t2m_mean_k,missing_reason
35.50,89.75,2011,8760,263.42454555110845,
35.75,88.50,2011,8760,264.43059087953611,
35.75,89.75,2011,8760,262.64541500736044,
35.75,90.50,2011,8760,263.88757396854766,
35.75,90.75,2011,8760,263.6918612475809,
35.75,92.00,2011,8760,265.82961210311822,
35.75,94.25,2011,8760,269.46829873002281,
36.00,90.00,2011,8760,263.16198647555694,
36.00,90.75,2011,8760,262.30658483461701,
36.00,91.00,2011,8760,262.52283455138883,
36.25,87.25,2011,8760,262.1842831145683,
36.25,87.50,2011,8760,261.99960668729318,
36.25,90.00,2011,8760,262.74222734878055,
36.50,87.50,2011,8760,260.22026318240927,
36.75,84.50,2011,8760,266.03930701164347,
36.75,84.75,2011,8760,263.31622717522049,
37.50,71.25,2011,8760,270.06818209260564,
37.75,70.75,2011,8760,272.5978258751299,
37.75,71.25,2011,8760,269.34663637936387,
37.75,88.25,2011,8760,265.04872756505119,
38.00,70.75,2011,8760,271.07234565700026,
38.00,71.00,2011,8760,268.64150275138957,
38.00,71.25,2011,8760,268.99729144301045,
38.00,71.75,2011,8760,266.71977178843599,
38.25,70.25,2011,8760,279.73597428134588,
38.25,71.00,2011,8760,271.48547502456734,
38.50,70.50,2011,8760,275.75355061047696,
38.50,71.00,2011,8760,271.97776576002985,
38.50,71.25,2011,8760,269.45713174375771,
38.50,72.00,2011,8760,264.20386896525343,
38.75,71.00,2011,8760,270.90587337267453,
38.75,71.25,2011,8760,268.2015956930918,
38.75,71.75,2011,8760,265.24406032823538,
38.75,72.00,2011,8760,262.67960608321238,
39.00,70.50,2011,8760,276.62122372318078,
39.00,70.75,2011,8760,273.7682124011593,
39.00,71.00,2011,8760,272.87591765939374,
39.00,71.25,2011,8760,271.20939724543325,
39.25,72.00,2011,8760,265.26417861485589,
39.50,72.00,2011,8760,271.41136239456802,
39.50,73.75,2011,8760,265.04521523567098,
60.50,221.50,2011,8760,264.53399483493473,
60.75,218.50,2011,8760,263.88369162920947,
60.75,218.75,2011,8760,262.61796586371992,
60.75,219.00,2011,8760,261.68806986351535,
60.75,221.50,2011,8760,264.99603601743098,
61.00,218.00,2011,8760,266.76806372376882,
61.00,218.75,2011,8760,262.46529726176499,
61.00,219.00,2011,8760,261.03542221975107,
61.00,220.75,2011,8760,262.36229575344419,
61.00,221.00,2011,8760,263.24299572112898,
61.25,220.25,2011,8760,263.63534954018786,
61.25,220.50,2011,8760,265.32772344998574,
61.50,217.75,2011,8760,265.23446577237621,
61.50,218.00,2011,8760,262.28911801516739,
61.50,218.50,2011,8760,262.34588391203857,
61.75,218.50,2011,8760,265.27568781604504,
62.25,218.25,2011,8760,266.08394536231754,
28.25,89.75,2012,8784,268.53845112006741,
28.25,90.00,2012,8784,266.67483122361813,
28.25,90.25,2012,8784,266.35353885886883,
29.25,83.75,2012,8784,265.48737792239166,
30.00,82.50,2012,8784,265.34508107399029,
30.00,85.00,2012,8784,264.44611218631377,
30.25,82.00,2012,8784,264.088818551847,
30.25,82.25,2012,8784,263.78088026793711,
30.50,84.25,2012,8784,264.39974634243492,
30.50,86.50,2012,8784,270.50504431351067,
30.75,82.75,2012,8784,262.67465002028666,
30.75,83.00,2012,8784,262.95336902944985,
30.75,83.25,2012,8784,264.03012210727826,
31.00,82.25,2012,8784,263.7927009169087,
31.00,82.50,2012,8784,263.85187166940102,
31.00,82.75,2012,8784,264.32066012557954,
31.50,86.75,2012,8784,272.23051754025596,
31.75,85.00,2012,8784,269.88700944000686,
32.75,92.25,2012,8784,265.94968667056389,
32.75,92.50,2012,8784,265.60384678449788,
32.75,92.75,2012,8784,265.73628843026086,
32.75,93.25,2012,8784,266.48080280178885,
33.00,92.00,2012,8784,265.63954984251484,
33.25,95.25,2012,8784,267.06211743415594,
33.50,86.50,2012,8784,266.929370725524,
33.50,86.75,2012,8784,267.57759855788044,
33.75,89.00,2012,8784,264.81044933965296,
34.00,82.25,2012,8784,265.7357427461551,
34.25,79.75,2012,8784,262.42057422644888,
34.25,80.00,2012,8784,261.85908863192697,
34.50,79.75,2012,8784,262.35625215957725,
34.50,81.25,2012,8784,262.32259502306664,
34.75,82.25,2012,8784,262.4902268689404,
34.75,82.50,2012,8784,262.41457999078301,
35.50,89.75,2012,8784,262.87330996056505,
35.75,88.50,2012,8784,263.10623346304413,
35.75,89.75,2012,8784,262.19324358260911,
35.75,90.50,2012,8784,263.31125046950655,
35.75,90.75,2012,8784,263.11107028898647,
35.75,92.00,2012,8784,264.8736034942238,
35.75,94.25,2012,8784,268.08489521387929,
36.00,90.00,2012,8784,262.36312207498185,
36.00,90.75,2012,8784,261.83867577516315,
36.00,91.00,2012,8784,261.88550854250383,
36.25,87.25,2012,8784,261.18848645013975,
36.25,87.50,2012,8784,261.18868205760128,
36.25,90.00,2012,8784,261.74122900519865,
36.50,87.50,2012,8784,259.80970381127031,
36.75,84.50,2012,8784,265.23949093809978,
36.75,84.75,2012,8784,262.45326208590592,
37.50,71.25,2012,8784,269.09422061829838,
37.75,70.75,2012,8784,271.57289502399215,
37.75,71.25,2012,8784,268.5888604127644,
37.75,88.25,2012,8784,264.10678204465216,
38.00,70.75,2012,8784,270.11867721224093,
38.00,71.00,2012,8784,267.8013686265233,
38.00,71.25,2012,8784,268.32963287548074,
38.00,71.75,2012,8784,266.42885443161094,
38.25,70.25,2012,8784,278.7102768052037,
38.25,71.00,2012,8784,270.63767258413066,
38.50,70.50,2012,8784,274.78144137238326,
38.50,71.00,2012,8784,271.0784929619461,
38.50,71.25,2012,8784,268.64002031837003,
38.50,72.00,2012,8784,263.13199609919758,
38.75,71.00,2012,8784,269.99576975087649,
38.75,71.25,2012,8784,267.33655819432551,
38.75,71.75,2012,8784,264.0310937728604,
38.75,72.00,2012,8784,261.34919099165006,
39.00,70.50,2012,8784,275.93826946925594,
39.00,70.75,2012,8784,272.96096767189289,
39.00,71.00,2012,8784,272.07022349908272,
39.00,71.25,2012,8784,270.24770148160894,
39.25,72.00,2012,8784,263.86171113901884,
39.50,72.00,2012,8784,270.64223961925683,
39.50,73.75,2012,8784,264.15500668662929,
60.50,221.50,2012,8784,264.24425934442405,
60.75,218.50,2012,8784,263.9835214250075,
60.75,218.75,2012,8784,262.88785829526694,
60.75,219.00,2012,8784,262.00984632426054,
60.75,221.50,2012,8784,264.58350075094643,
61.00,218.00,2012,8784,266.41637405367715,
61.00,218.75,2012,8784,262.65187458913834,
61.00,219.00,2012,8784,261.32414941492408,
61.00,220.75,2012,8784,262.21470765077351,
61.00,221.00,2012,8784,263.02669468516643,
61.25,220.25,2012,8784,263.45357213602256,
61.25,220.50,2012,8784,265.04454411226976,
61.50,217.75,2012,8784,264.34498294802529,
61.50,218.00,2012,8784,261.72281878285503,
61.50,218.50,2012,8784,261.87786763960764,
61.75,218.50,2012,8784,264.29071168951651,
62.25,218.25,2012,8784,265.07905623257051,
28.25,89.75,2013,8760,268.82337133329207,
28.25,90.00,2013,8760,266.85087606525855,
28.25,90.25,2013,8760,266.35480237812754,
29.25,83.75,2013,8760,266.27742877071853,
30.00,82.50,2013,8760,266.33473317568706,
30.00,85.00,2013,8760,264.46145042698134,
30.25,82.00,2013,8760,265.10176437238579,
30.25,82.25,2013,8760,264.88191163224172,
30.50,84.25,2013,8760,265.00895930076842,
30.50,86.50,2013,8760,270.39724425398595,
30.75,82.75,2013,8760,264.25492641675419,
30.75,83.00,2013,8760,264.54360832667243,
30.75,83.25,2013,8760,265.48278898822662,
31.00,82.25,2013,8760,264.99663519489167,
31.00,82.50,2013,8760,264.97404805884514,
31.00,82.75,2013,8760,265.34856757769302,
31.50,86.75,2013,8760,272.55934715967743,
31.75,85.00,2013,8760,270.69858178439205,
32.75,92.25,2013,8760,265.90195120371641,
32.75,92.50,2013,8760,265.66381463351314,
32.75,92.75,2013,8760,265.87598776098798,
32.75,93.25,2013,8760,266.6000430694998,
33.00,92.00,2013,8760,265.76088895405809,
33.25,95.25,2013,8760,267.38597521150496,
33.50,86.50,2013,8760,268.10522375063266,
33.50,86.75,2013,8760,268.79550828628891,
33.75,89.00,2013,8760,265.51771261833574,
34.00,82.25,2013,8760,266.43522456269284,
34.25,79.75,2013,8760,263.37915895714605,
34.25,80.00,2013,8760,263.26830397653799,
34.50,79.75,2013,8760,263.31459724913992,
34.50,81.25,2013,8760,262.85235296972269,
34.75,82.25,2013,8760,263.37570912435177,
34.75,82.50,2013,8760,263.43736476288541,
35.50,89.75,2013,8760,264.04937759817466,
35.75,88.50,2013,8760,264.02942030745555,
35.75,89.75,2013,8760,263.08637012847481,
35.75,90.50,2013,8760,264.46367550854268,
35.75,90.75,2013,8760,264.27952435288802,
35.75,92.00,2013,8760,265.76689011386543,
35.75,94.25,2013,8760,269.45080493421858,
36.00,90.00,2013,8760,263.61105999707087,
36.00,90.75,2013,8760,262.90729840770706,
36.00,91.00,2013,8760,263.07766376826316,
36.25,87.25,2013,8760,261.95642978546283,
36.25,87.50,2013,8760,261.88801804633988,
36.25,90.00,2013,8760,263.09218404064438,
36.50,87.50,2013,8760,260.64449211887029,
36.75,84.50,2013,8760,266.49763423971933,
36.75,84.75,2013,8760,263.68837744656219,
37.50,71.25,2013,8760,269.99697719033992,
37.75,70.75,2013,8760,272.85399195875749,
37.75,71.25,2013,8760,269.26385054740734,
37.75,88.25,2013,8760,265.23661116682774,
38.00,70.75,2013,8760,271.35362026441044,
38.00,71.00,2013,8760,268.82372317379469,
38.00,71.25,2013,8760,269.08447743768562,
38.00,71.75,2013,8760,267.21923368445272,
38.25,70.25,2013,8760,280.31098795503243,
38.25,71.00,2013,8760,271.69488537932097,
38.50,70.50,2013,8760,276.16379702668212,
38.50,71.00,2013,8760,272.24619571912234,
38.50,71.25,2013,8760,269.77526605858651,
38.50,72.00,2013,8760,264.49116063052662,
38.75,71.00,2013,8760,271.33965632817518,
38.75,71.25,2013,8760,268.7069059903219,
38.75,71.75,2013,8760,265.55487065249929,
38.75,72.00,2013,8760,262.97451120489808,
39.00,70.50,2013,8760,277.19028549194337,
39.00,70.75,2013,8760,274.3808157655202,
39.00,71.00,2013,8760,273.52471982180799,
39.00,71.25,2013,8760,271.76626628196402,
39.25,72.00,2013,8760,265.51038711756877,
39.50,72.00,2013,8760,271.89922282946162,
39.50,73.75,2013,8760,265.89269254501551,
28.25,89.75,2014,8760,269.15290749606476,
28.25,90.00,2014,8760,267.16047829754274,
28.25,90.25,2014,8760,266.76219753979547,
29.25,83.75,2014,8760,265.67186792452043,
30.00,82.50,2014,8760,265.1425289136634,
30.00,85.00,2014,8760,264.035824071109,
30.25,82.00,2014,8760,264.41057928076617,
30.25,82.25,2014,8760,263.87498402704387,
30.50,84.25,2014,8760,264.19790737204357,
30.50,86.50,2014,8760,270.83671347909865,
30.75,82.75,2014,8760,262.75474398016388,
30.75,83.00,2014,8760,262.9770290113475,
30.75,83.25,2014,8760,263.94985806016615,
31.00,82.25,2014,8760,263.49180588395626,
31.00,82.50,2014,8760,263.1155198328027,
31.00,82.75,2014,8760,263.82130341551618,
31.50,86.75,2014,8760,272.69001462753505,
31.75,85.00,2014,8760,270.11452477337565,
32.75,92.25,2014,8760,266.52506272999665,
32.75,92.50,2014,8760,266.38623946377129,
32.75,92.75,2014,8760,266.52755009376841,
32.75,93.25,2014,8760,267.65641108473687,
33.00,92.00,2014,8760,266.50206602958781,
33.25,95.25,2014,8760,267.98534407071327,
33.50,86.50,2014,8760,267.96449000911628,
33.50,86.75,2014,8760,268.67893221781134,
33.75,89.00,2014,8760,265.73131161345736,
34.00,82.25,2014,8760,266.81450114489689,
34.25,79.75,2014,8760,263.26871375166661,
34.25,80.00,2014,8760,263.09511928122885,
34.50,79.75,2014,8760,263.62002985706067,
34.50,81.25,2014,8760,263.60219644520379,
34.75,82.25,2014,8760,263.42035268496159,
34.75,82.50,2014,8760,263.56858128761047,
35.50,89.75,2014,8760,263.17487479257801,
35.75,88.50,2014,8760,263.11548952424909,
35.75,89.75,2014,8760,262.37427189448107,
35.75,90.50,2014,8760,263.64504614877916,
35.75,90.75,2014,8760,263.49503432670139,
35.75,92.00,2014,8760,264.96835875489398,
35.75,94.25,2014,8760,268.721858121271,
36.00,90.00,2014,8760,262.67353924790473,
36.00,90.75,2014,8760,262.13334901888078,
36.00,91.00,2014,8760,262.24564169792279,
36.25,87.25,2014,8760,261.1671376128175,
36.25,87.50,2014,8760,261.18202036853251,
36.25,90.00,2014,8760,262.02772933054189,
36.50,87.50,2014,8760,260.12528297563665,
36.75,84.50,2014,8760,265.98431555865562,
36.75,84.75,2014,8760,263.15703335069628,
37.50,71.25,2014,8760,268.99598944154502,
37.75,70.75,2014,8760,271.91305900469217,
37.75,71.25,2014,8760,268.3379865289279,
37.75,88.25,2014,8760,263.84930354775901,
38.00,70.75,2014,8760,270.47101667395464,
38.00,71.00,2014,8760,268.03514135352009,
38.00,71.25,2014,8760,268.15778555674098,
