candidate_id,matching_level,pool_size,rgi_id,digest,rank,selected
aru-1-2016,1,1170,RGI2000-v7.0-G-13-66890,031e12b2f707f76a1b4676f3075be31cb139f3a9065cbca3cd9bed809063bd85,12,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-60117,0392d24fa80a7acc7b91ac9bdbb82df47df4a12251c8d1e2c3f540dc815ad3b4,13,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-66450,03b856aced57596fcdb357612ec9d0e0eef2cc137e0a9b34c71719f18ab88556,14,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-58772,04013280d10722139defd071eeaa1bdfe30ad95c01ec0574a04197cabe5236e4,15,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-64353,0409ab4399fb84effbb8459d10a31e31394a4669d13f92a77caaa92e1f48edaa,16,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-64859,043d26e843c17d1fa0e9644f786b92d968c5ca90dac9a55c7866529e0fca8b9d,17,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-65173,04a63327a0320e1193740f5da14846006a11f90b79e37a2e580cd445d996b819,18,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-65048,04a655a2d6092a9139dacf87ee02d7fc7ad741bf54ee77acb7b1c0de79cd75c4,19,True
aru-1-2016,1,1170,RGI2000-v7.0-G-13-65939,04b9c04bfa93e7e83d2beb4b3da9eda1d98586a81cd7f2294c5a51e8e3e1ca2a,20,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-59153,000dfefbe57392a6d68eb887aa15ca22c710930e8544272bda91aa6e4e9eb38e,1,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-63553,002dbb175cb923f7069aca3e35646ecfc57924fa10c70079e0a5a2696f9c081e,2,True
aru-2-2016,1,928,RGI2000-v7.0-G-13-64718,005cb45860962b7ac7a81d7055fb48a5b9de503ae0665bff98604e280e052e3c,3,True
