rgi_id,latitude,longitude,intersection_area_m2,weight
RGI2000-v7.0-G-17-24691,-35.00,290.00,247938.0139662856,1
RGI2000-v7.0-G-17-24694,-35.00,289.75,335576.021450824,1
RGI2000-v7.0-G-17-24735,-35.00,289.75,652082.2970902051,1
RGI2000-v7.0-G-17-24851,-34.75,289.50,177504.1866605423,1
RGI2000-v7.0-G-17-24852,-34.75,289.50,479240.6128411754,1
RGI2000-v7.0-G-17-24868,-34.75,289.75,217709.6480318528,1
RGI2000-v7.0-G-17-24917,-34.75,289.75,683568.6523370912,1
RGI2000-v7.0-G-17-25037,-34.50,289.75,296041.1375320535,1
RGI2000-v7.0-G-17-25074,-34.75,289.75,789717.4360028878,1
RGI2000-v7.0-G-17-25190,-34.50,290.00,209031.9655575759,1
RGI2000-v7.0-G-17-25212,-34.50,290.00,313617.4521595802,1
RGI2000-v7.0-G-17-25231,-34.50,290.00,501567.761280207,1
RGI2000-v7.0-G-17-25532,-34.00,290.00,1464484.720271345,1
RGI2000-v7.0-G-17-25549,-34.00,290.25,438690.9023309017,1
RGI2000-v7.0-G-17-25684,-33.75,290.00,1778796.783760946,1
RGI2000-v7.0-G-17-25692,-33.75,290.00,1293362.343488047,1
RGI2000-v7.0-G-17-25867,-33.25,290.00,486315.8207256098,1
RGI2000-v7.0-G-17-29314,-33.25,289.75,219721.4023501339,1
RGI2000-v7.0-G-17-29328,-33.25,289.75,329117.8159693183,1
